Bus Name,Bus Type,Departure Time,Arrival Time,Duration,Fare,Rating,Seat Availability,Bus Link,Bus Route,State Name
Kadamba Transport Corporation Limited (KTCL) - 6237,Non AC Seater 2+2,18:30,06:30,12h 00m,600.0,4.2,28.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:30,10h 30m,699.0,4.6,5.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,850.0,4.6,12.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,08:30,11h 30m,950.0,4.5,15.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray Amrutyog,A/C Sleeper (2+1),22:00,09:30,11h 30m,799.0,4.4,15.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),23:50,10:00,10h 10m,749.0,4.5,18.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),20:15,06:30,10h 15m,960.0,4.5,11.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:00,10:00,11h 00m,769.0,4.3,17.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Sangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,06:45,09h 45m,762.0,4.2,25.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Zingbus Plus,VE A/C Sleeper (2+1),23:55,11:10,11h 15m,761.0,4.3,21.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
